concept	property	prop_count	pos_tag	is_only_adj	is_last_word_noun
silicone resin	organic	355	[('organic', 'JJ')]	True	False
service	real	43	[('real', 'JJ')]	True	False
water retention	aesthetic	20	[('aesthetic', 'JJ')]	True	False
health	local	332	[('local', 'JJ')]	True	False
breathing	automatic	13	[('automatic', 'JJ')]	True	False
kitchen	small	653	[('small', 'JJ')]	True	False
elizabeth taylor	western	106	[('western', 'JJ')]	True	False
transparency	basic	667	[('basic', 'JJ')]	True	False
file transfer	typical	82	[('typical', 'JJ')]	True	False
heavy metal	environmental	592	[('environmental', 'JJ')]	True	False
velvet	exotic	119	[('exotic', 'JJ')]	True	False
mexico	upper	21	[('upper', 'JJ')]	True	False
toothpaste	daily	99	[('daily', 'JJ')]	True	False
education	practical	121	[('practical', 'JJ')]	True	False
nokia	electronic	281	[('electronic', 'JJ')]	True	False
pain	clinical	183	[('clinical', 'JJ')]	True	False
press	common	802	[('common', 'JJ')]	True	False
handheld computer	portable electronic	43	[('portable', 'JJ'), ('electronic', 'JJ')]	True	False
disgust	negative	109	[('negative', 'JJ')]	True	False
orange juice	attractive	19	[('attractive', 'JJ')]	True	False
pregnant woman	vulnerable	45	[('vulnerable', 'JJ')]	True	False
equality	democratic	11	[('democratic', 'JJ')]	True	False
bifidobacteria	beneficial	42	[('beneficial', 'JJ')]	True	False
permeability	physical	686	[('physical', 'JJ')]	True	False
flexibility	essential	297	[('essential', 'JJ')]	True	False
butterfly	small	653	[('small', 'JJ')]	True	False
halothane	volatile	92	[('volatile', 'JJ')]	True	False
bag	original	52	[('original', 'JJ')]	True	False
muscle	physical	686	[('physical', 'JJ')]	True	False
coffee maker	small	653	[('small', 'JJ')]	True	False
golden gate bridge in san francisco	famous	126	[('famous', 'JJ')]	True	False
duck	small	653	[('small', 'JJ')]	True	False
database	external	443	[('external', 'JJ')]	True	False
catering	soft	247	[('soft', 'JJ')]	True	False
leaf	natural	709	[('natural', 'JJ')]	True	False
weight	physicochemical	72	[('physicochemical', 'JJ')]	True	False
nicotine	addictive	19	[('addictive', 'JJ')]	True	False
certificate	tangible	53	[('tangible', 'JJ')]	True	False
change	historical	44	[('historical', 'JJ')]	True	False
insomnia	serious	276	[('serious', 'JJ')]	True	False
peripheral neuropathy	medical	456	[('medical', 'JJ')]	True	False
cypress	essential	297	[('essential', 'JJ')]	True	False
presentation skill	soft	247	[('soft', 'JJ')]	True	False
andy warhol	notable	42	[('notable', 'JJ')]	True	False
tornado	external	443	[('external', 'JJ')]	True	False
