hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
blackfly,homopterous insect,insect,,,,,,,,,,,,,
abhorrence,distaste,hatred,hate,disgust,,,,,,,,,,,
tropical storm,atmosphere,windstorm,violent storm,air current,atmospheric state,density,current of air,storm damage,atmospheric phenomenon,storm,cyclone,natural phenomenon,tempest,wind,
militarization,social control,,,,,,,,,,,,,,
pollution,dirtiness,dirtying,environmental condition,impurity,sanitary condition,uncleanness,,,,,,,,,
photomicrograph,picture,photograph,photo,image,pic,digital image,,,,,,,,,
swamp gum,eucalyptus,plant,eucalyptus tree,angiosperm,gum,gum tree,woody plant,eucalypt,,,,,,,
song,possession,sound,work of art,musical composition,vocal music,musical work,piece of music,human language,speech,signaling,,,,,
wing,emblem,technical specification,form,specifications,symbolization,aerofoil,air unit,helping,shape,symbolisation,animal,airfoil,,,
cumulus,observable,natural phenomenon,phenomenon,atmospheric phenomenon,,,,,,,,,,,
silver,base metal,metallic element,gray,native metal,transition element,badge of honour,valuable,grey,historic house,tableware,dishware,silverware,dye,atom,ternary alloy
sand verbena,flower,learned profession,angiosperm,structural biology,wildflower,wild flower,technology,,,,,,,,
louse,serial publication,reference work,unpleasant person,terminologist,insect,tertiary source,homopterous insect,,,,,,,,
sodium nitrite,chemical series,bond,inorganic compound,chemical bond,chemical group,,,,,,,,,,
navigator,military branch,explorer,military machine,travel,adventurer,seaman,crewmember,crew member,person,military force,exploration,military man,military,combatant,military unit
gasworks,plant,constructed structure,manufacturing plant,building complex,factory,manufactory,workplace,industrial plant,,,,,,,
farming,economic sector,manufacture,cultivation,,,,,,,,,,,,
failure rate,rate,ratio,,,,,,,,,,,,,
chess,party game,parlor game,board game,parlour game,,,,,,,,,,,
floorshow,show,entertainment,,,,,,,,,,,,,
lion,carnivore,fault,big cat,animal,carnivory,mistake,,,,,,,,,
homophone,homonym,,,,,,,,,,,,,,
availability,convenience,,,,,,,,,,,,,,
bush,plant,perennial,wilderness,woody plant,wild,,,,,,,,,,
Deck,work of art,technical specification,flooring,level,horizontal surface,topological space,platform,shape,surface,venture,floor,upper deck,,,
jet stream,phenomenon,air current,weather,atmospheric phenomenon,current of air,physical phenomenon,weather condition,airstream,wind,,,,,,
habit,function,affair,suit of clothes,exercise,suit,,,,,,,,,,
sliminess,viscosity,,,,,,,,,,,,,,
subject,syntactic category,grammatical category,medical research,theory,text,explanation,philosophy,textbook,human language,know-how,work of art,constituent,melody,philosophical theory,tune
planetary science,schoolbook,macrocosm and microcosm,textbook,book,branch of science,astrophysics,cosmos,physics,method,,,,,,
lobbyist,persuader,,,,,,,,,,,,,,
disservice,wrongful conduct,misconduct,injury,wrongdoing,,,,,,,,,,,
carbon,coated paper,non-metal,molecular entity,chemical group,chemical series,main group,paper,main group element,carbon group,nonmetal,copy,building block,,,
owner-occupier,resident,occupier,occupant,,,,,,,,,,,,
fault,breakdown,opening,gap,crevice,failure,rupture,structural failure,imperfectness,fissure,space,imperfection,fracture,crack,separation process,injury
contribution,giving,effort,attempt,,,,,,,,,,,,
starling,bird,animal,,,,,,,,,,,,,
spinal fusion,specialist,higher education,health professional,physician,surgical procedure,health care provider,bioscience,medical aid,medicine,health care,surgery,life science,orthopedic surgery,md,orthopaedics
trust,indicator,partnership,private corporation,corporation,company,syndicate,comradeship,consortium,business organization,agreement,business organisation,voluntary association,privately held corporation,fraternity,brotherhood
self-confidence,certainty,certitude,,,,,,,,,,,,,
beneficiary,person,natural person,legal person,acquirer,receiver,,,,,,,,,,
backwash,function,flow,movement,,,,,,,,,,,,
harvesting,collecting,assembling,gather,,,,,,,,,,,,
hosiery,clothing,footwear,clothes,,,,,,,,,,,,
Ph.D.,bookman,scholar,scholarly person,doctor,affix,person,dr.,honorific,intellect,,,,,,
megabyte,dictionary entry,unit of information,byte,linguistic unit,language unit,,,,,,,,,,
certified check,computer file,bank check,bill of exchange,data file,written document,cheque,check,order of payment,,,,,,,
pearl,stone,ball,substantial form,abstract object,precious stone,jewel,antique white,rock,pebble,orb,white,,,,
playwriting,writer,,,,,,,,,,,,,,
smew,sea duck,waterfowl,waterbird,animal,duck,,,,,,,,,,
biosatellite,satellite,computer code,transportation,electrical appliance,means of transport,software application,artificial satellite,orbiter,mechanism,network host,application,server system,astronomical object,electronic computer,spaceship
passage,musical composition,transportation,piece of music,move,delivery,transferral,journey,traveling,passageway,bodily process,response,journeying,voyage,transfer,travel
environment,physical system,,,,,,,,,,,,,,
syzygy,observable,natural phenomenon,phenomenon,physical phenomenon,,,,,,,,,,,
tax haven,country,devising,knowledge organization,,,,,,,,,,,,
magnet,definite quantity,cardinal,dimension,,,,,,,,,,,,
attic,constructed structure,floor,wall,storage medium,partition,divider,,,,,,,,,
autonomous region,constituent state,,,,,,,,,,,,,,
dormouse,rodentia,rodent,animal,mammal,,,,,,,,,,,
explosion,motion,sound,noise,shot,demo,discharge,move,blowup,outburst,,,,,,
earthquake,natural disaster,musical composition,disaster,musical style,piece of music,disruption,natural phenomenon,tragedy,geological phenomenon,disturbance,catastrophe,musical work,commotion,music genre,dance orchestra
vendue,merchant,merchandiser,selling,merchandising,sales agent,marketing,sale,seller,salesman,selling technique,,,,,
leaf curl,illness,plant disease,sickness,disease,phytopathology,plant pathology,phytopathogen,disorder,,,,,,,
crisis,difficulty,state,,,,,,,,,,,,,
curiosa,medium,book,piece of work,communication medium,,,,,,,,,,,
rainfall,phenomenon,downfall,optical phenomenon,natural phenomenon,atmospheric precipitation,weather,physical phenomenon,weather condition,precipitation,,,,,,
Endemic goitre,disease,sickness,,,,,,,,,,,,,
club,baseball team,paper,voluntary association,golf equipment,olympic sport,sport,association,business establishment,athlete,place of business,playing card,,,,
curriculum,course of instruction,course of study,,,,,,,,,,,,,
cat,code,transportation,native plant,utility program,female animal,woman,female,transport,utility,means of transportation,computer code,means of transport,corporation,female person,land vehicle
printing,written language,written communication,communication medium,,,,,,,,,,,,
photojournalism,story,medium,language,narrative mode,short story,journalism,research,investigation,piece of work,mass media,narrative,investigating,print media,news media,communication medium
spaceport,installation,facility,,,,,,,,,,,,,
till,equipment,parcel,,,,,,,,,,,,,
horizontal bar,durable good,durable goods,gymnastic apparatus,equipment,exerciser,sports equipment,,,,,,,,,
parameter,computer code,constant,technical specification,reference,specifications,invariable,code,data type,constant quantity,computer address,,,,,
cocktail,mixed drink,intoxicant,alcohol,combination,drink,fluid,street drug,alcoholic drink,drinkable,liquid state,drug of abuse,alcoholic beverage,liquidity,,
sacrifice,possession,ending,failure,kill,drop-off,casualty,loss,lessening,putting to death,nonachievement,termination,,,,
Sphagnum,nonvascular plant,plant,moss,,,,,,,,,,,,
noun,substantive,,,,,,,,,,,,,,
neck,body part,cut of meat,,,,,,,,,,,,,
liquid,state of matter,fluid,,,,,,,,,,,,,
switch,computing device,rail transportation,electrical network,electric circuit,component,computer circuit,hardware,add-in,circuitry,railroad track,plug-in,integrated circuit,wig,card,slot
turnstile,gate,impediment,constructed structure,barrier,,,,,,,,,,,
foreclosure,proceeding,transmission,due process,legal proceeding,proceedings,legal proceedings,,,,,,,,,
course,function,canvas,placement,way,calculation,series,guidance,itinerary,course of study,arrangement,mathematical operation,magnitude,navigation,computation,path
escutcheon,plate,personal armor,suit of armour,armour,protection,protective cover,suit of armor,protective covering,body armour,body armor,,,,,
suspension,supporting,mixture,technical specification,abstract object,support,thermodynamic system,mechanism,state,mechanical assembly,physical system,inaction,pure mathematics,mechanical system,,
unsafe abortion,termination,abortion,,,,,,,,,,,,,
lunch,medium,transmission,storage medium,storage,record album,meal,,,,,,,,,
market value,net worth,price,retail,cost,retail price,,,,,,,,,,
agogo,instrument,musical instrument,bell shape,bell,,,,,,,,,,,
bigtooth aspen,binomen,aspen,perennial,woody plant,flowering tree,native plant,binomial nomenclature,,,,,,,,
ghrelin,body substance,bodily fluid,biofluid,hormone,humor,biomolecule,biopolymer,chemical group,chemical series,signaling molecule,chemical bond,internal secretion,gi hormones,body fluid,gastrointestinal hormone
benefaction,donation,kindness,contribution,gift,,,,,,,,,,,
abdication,resignation,group event,written document,,,,,,,,,,,,
tebuconazole,fungicide,,,,,,,,,,,,,,
heritage,transferred property,,,,,,,,,,,,,,
delay,code,time interval,interval,break,computer code,computer program,inactivity,pause,music notation,note,musical notation,,,,
crossover,elector,borrowing,economic science,,,,,,,,,,,,
bramble,woody plant,plant,family tree,perennial,bramble bush,research,,,,,,,,,
property owner,owner,person,holder,,,,,,,,,,,,
workplace,making,cartography,mapmaking,fashioning,,,,,,,,,,,
