hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
bone spur,clinical finding,disease,,,,,,,,,,,,,
endodontics,specialty,dentistry,dental medicine,medicine,medical specialty,medical science,practice of medicine,surgical specialty,,,,,,,
recurrent cancer,clinical finding,disease,malignant tumor,tumor,cancer,,,,,,,,,,
neurohypophyseal diabetes insipidus,clinical finding,disease,metabolic disease,diabetes,,,,,,,,,,,
fixed orthodontic appliance,appliance,,,,,,,,,,,,,,
blood product,biological agent,,,,,,,,,,,,,,
chronic post-traumatic headache,headache disorder,clinical finding,disease,headache,,,,,,,,,,,
peripheral odontogenic fibroma,proliferation,odontogenic neoplasm,body structure,lump,neoplasm,fibroma,,,,,,,,,
bone marrow,connective tissue,conjunctive tissue,animal tissue,body structure,anatomical structure,marrow,,,,,,,,,
parent-infant psychotherapy,therapy,therapeutic procedure,psychotherapy,,,,,,,,,,,,
right brain,cerebral hemisphere,hemisphere,neural structure,anatomical structure,body structure,,,,,,,,,,
neurosis,disturbance,psychological disorder,psychiatric condition,folie,mental disturbance,mental illness,mental disorder,sickness,disorder,disease,pathological state,,,,
disease of lung,clinical finding,disease,,,,,,,,,,,,,
venous blood,blood,biofluid,body fluid,fluid,,,,,,,,,,,
neurogenesis,ontogenesis,ontogeny,maturation,growth,growing,,,,,,,,,,
pulmonary artery blood,arterial blood,blood,body fluid,,,,,,,,,,,,
single lung transplant,implantation,grafting procedure,introduction,transplantation,procedure,lung transplant,transplant,,,,,,,,
oral cavity,orifice,opening,anatomical structure,body structure,,,,,,,,,,,
marginal periodontitis,clinical finding,periodontal disease,periodontitis,disease,,,,,,,,,,,
neuromyopathy,clinical finding,disease,,,,,,,,,,,,,
orthodontist,dentist,dental practitioner,health care provider,health professional,health science,medical practitioner,caregiver,primary care provider,pcp,healthcare professional,,,,,
synovial joint,joint,articulation,,,,,,,,,,,,,
childhood obesity,malady,illness,sickness,disorder,disease,,,,,,,,,,
oral phase,phase,stage,,,,,,,,,,,,,
frequent headache,pain,clinical finding,craniofacial pain,neurological finding,headache,,,,,,,,,,
arrowhead,plant,vegetable,,,,,,,,,,,,,
lung bud,body structure,,,,,,,,,,,,,,
bloodletting,medical care,medical aid,treatment,intervention,aid,tending,attention,health care,,,,,,,
pulmonary thromboembolism,vascular disease,thromboembolic disease,embolism,soft tissue lesion,clinical finding,pulmonary embolism,respiratory disorder,arterial thrombosis,thrombosis,disease,pulmonary thrombosis,thromboembolism,,,
respiratory arrest,clinical finding,respiratory failure,disease,respiratory disorder,arrest,,,,,,,,,,
noncompetitive inhibition,functions,inhibition,metabolism,,,,,,,,,,,,
autogenous bone graft,implantation,bone graft,grafting procedure,introduction,procedure,,,,,,,,,,
cancer procoagulant,enzyme,hydrolase,protein,,,,,,,,,,,,
oculopharyngeal muscular dystrophy,dystrophy,muscular dystrophy,hereditary condition,genetic disorder,genetic disease,genetic abnormality,inherited disease,genetic defect,inherited disorder,hereditary disease,congenital disease,malady,illness,sickness,disorder
pulmonary alveolar proteinosis,disease of lung,degenerative disorder,clinical finding,disease,respiratory disorder,metabolic disease,,,,,,,,,
anodontia,hereditary condition,genetic disorder,genetic disease,genetic abnormality,inherited disease,genetic defect,inherited disorder,hereditary disease,congenital disease,malady,illness,sickness,disorder,disease,congenital defect
paediatric oncology,medical oncology,oncology,,,,,,,,,,,,,
neurohormone,endocrine,hormone,signaling molecule,cell signaling,secretion,biofluid,body fluid,,,,,,,,
pulmonary capillary hemangiomatosis,vascular disease,respiratory disorder,soft tissue lesion,clinical finding,angiomatosis,disease,precapillary pulmonary hypertension,pulmonary hypertension,,,,,,,
multiple cranial neuropathy,neuropathy,clinical finding,disease,,,,,,,,,,,,
brain damage,brain injury,harm,injury,trauma,hurt,neurological disorder,neurological disease,nervous disorder,accidental injury,malady,illness,sickness,disorder,disease,damage
neuropathologist,healthcare professional,physician,specialized physician,worker,medical practitioner,medical doctor,,,,,,,,,
diabetic autonomic neuropathy,autonomic neuropathy,neuropathy,clinical finding,diabetic neuropathy,disease,,,,,,,,,,
neuron-specific enolase,enolase,enzyme,lyase,protein,,,,,,,,,,,
neuropraxia,neurological lesion,neuropathy,clinical finding,disease,nerve damage,body structure,damage,injury,,,,,,,
motor polyneuropathy,neuropathy,clinical finding,disease,peripheral nerve disease,polyneuropathy,,,,,,,,,,
continuous electrocardiogram,clinical evaluation,cardiovascular investigation,electrocardiogram,,,,,,,,,,,,
psychodynamic psychotherapy,therapy,therapeutic procedure,psychotherapy,,,,,,,,,,,,
microbe,microorganism,,,,,,,,,,,,,,
castrate-resistant prostate cancer,malignant tumor,abdominal mass,clinical finding,pelvic mass,disease,cancer of prostate,cancer,,,,,,,,
biopsy of bone,biopsy,removal,,,,,,,,,,,,,
cervicogenic headache,pain,clinical finding,craniofacial pain,neurological finding,headache,,,,,,,,,,
pneumocystis,eukaryotes,,,,,,,,,,,,,,
oral administration,route of administration,parenteral,,,,,,,,,,,,,
protooncogene,gene,factor,genetic information,nucleic acid sequence,,,,,,,,,,,
muscimol,biological agent,microbial agent,toxic substance,mycotoxin,toxin,drug,,,,,,,,,
completion pneumonectomy,removal,procedure,surgical removal,excision,pneumonectomy,,,,,,,,,,
bone grafting,surgical operation,surgical procedure,surgery,surgical process,intervention,medical procedure,,,,,,,,,
palliation,easing,relief,alleviation,decline,step-down,abatement,cutback,lessening,discount,reduction,decrease,,,,
bone flap,surgical material,flap,bone,portion,,,,,,,,,,,
inflammation,clinical symptom,malady,illness,sickness,disorder,disease,pathological state,body structure,pathological process,,,,,,
right pneumothorax,pneumothorax,clinical finding,disease,,,,,,,,,,,,
large head,clinical finding,disease,,,,,,,,,,,,,
