hypo,hyp=1,hyp=2,hyp=3,hyp=4,hyp=5,hyp=6,hyp=7,hyp=8,hyp=9,hyp=10,hyp=11,hyp=12,hyp=13,hyp=14,hyp=15
bagpipe,instrument,musical instrument,pipe,wind,wind instrument,aerophone,,,,,,,,,
coda,movement,end,ending,close,closing,cul-de-sac,conclusion,musical work,musical composition,piece of music,opus,composition,freeway,thoroughfare,pike
preface,introduction,,,,,,,,,,,,,,
Heartland rock,musical style,music genre,,,,,,,,,,,,,
Dance-rock,musical style,music genre,,,,,,,,,,,,,
Gittler guitar,guitar,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,
Latin hip-hop,latin music,music genre,,,,,,,,,,,,,
passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,,,
keyboardist,musician,person,,,,,,,,,,,,,
anticlimax,close,closing,conclusion,end,ending,,,,,,,,,,
suspended cymbal,cymbal,percussion,percussive instrument,percussion instrument,idiophone,instrument,musical instrument,,,,,,,,
Christian rock,rock and roll,rock music,rock-and-roll,rock,rock'n'roll,musical style,music genre,popular music,popular music genre,,,,,,
Russian guitar,seven-string guitar,guitar,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,
marimba,percussion,percussive instrument,percussion instrument,instrument,musical instrument,idiophone,,,,,,,,,
Taiwanese pop,musical style,music genre,,,,,,,,,,,,,
musical phrase,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
operetta,opera,opera buffa,bouffe,buffa,buffo,comic opera,musical work,musical theater,drama,dramatic play,performing arts,classical,classical music,serious music,art music
Electric guitar,guitar,stringed instrument,string instrument,plucked instrument,plucked string instrument,instrument,musical instrument,,,,,,,,
classic big band,jazz,swing jazz,music genre,,,,,,,,,,,,
christmas,music genre,,,,,,,,,,,,,,
saxophone,instrument,musical instrument,wood,woodwind instrument,woodwind,reed,reed instrument,wind,wind instrument,aerophone,,,,,
soundtrack,musical work,audio recording,sound recording,audio,flick,picture,movie,pic,picture show,film,motion picture,work of art,recording,show,social event
epigraph,quote,citation,quotation,,,,,,,,,,,,
largo,musical passage,passage,musical composition,piece of music,opus,composition,musical work,work of art,,,,,,,
