animals	animal species,megaherbivores,wide ranging benthivores,large bodied taxa
mammals	native mammal,wild mammal,common mammal,terrestrial mammal,non mammals,domestic mammal,herbivorous mammal,land mammal,introduced mammal
placentals	amniotes,non mammals,lambeosaurines,vertebrate animal,cold blooded vertebrate,primitive vertebrate,arboreal mammalian folivores,north american animal
quadrupeds	cursorial quadruped,hoofed mammal,amniotes,arboreal mammalian folivores,north america larger canivores,terrestrial mammal,herbivorous mammal,cloven-hoofed animal,sighthounds
vertebrates	vertebrate animal,wide ranging benthivores,large bodied taxa
capable of burrows	small furry,megaherbivores,amniotes
logical arguments	argument,mode of reasoning,complex premise,proposition,logic,axiomatic principle
educational organizations	nonprofit educational organization,educational establishment,informal education center,educational institution,learning institution,learning organization,educational institute
establishments	commercial establishment,article smaller establishment,facilities,public establishment,business establishment,commercial facility,food establishment,service establishment,local business establishment
schools	reputable school,fbs school,established school,private school
institutions	regulative institution,basic institution,supranational institution,local institution,public institution,complex institution,community institution,informal institution,formal institution
secondary schools	secondary institution,fbs school,school,private school,local school,reputable school,independent school,post secondary institution,top tier school,educational institute
plastic surgery	plastic surgery procedure,plastic surgery treatment,facial plastic surgery procedure,facial plastic surgery treatment,facial surgery,ablative surgery,invasive surgery
blood groups	blood component,blood element,mitochondrial parameter,blood factor,serum biochemical index,blood protein,blood constituent,blood index,erythrocyte index,blood chemistry parameter
cloth	soft cloth,heavy cloth,lint free cloth,soft cotton cloth,pre treated cloth,fabric,twilled fabric
fabric	twilled fabric,fabric material,natural fabric,traditional fabric,suitable fabric
games	playing game,popular game,game type,physical game,zork game,world famous game,classic game,machine game
gastropods	mollusk,bivalve mollusk,mollusc,marine mollusc,bivalve mollusc,coastal mollusc,cephalopod mollusc,cephalopod mollusk,molluscan shellfish
mollusks	bivalve mollusk,gastropod,bivalve molluscan shellfish,bivalve mollusc,molluscan shellfish,coastal mollusc,marine mollusc,mollusc
shellfishs	molluscan shellfish,bivalve shellfish,bivalve molluscan shellfish,shell fish,filter-feeding shellfish,small panfish,shellfish crustacean,panfish
snails	carnivorous gastropod snail,terrestrial snail,freshwater snail,gastropod,mollusk,predatory marine snail,bivalve mollusk
disposals	disposal method,disposal technique,disposal option,collection action,extraordinary disposal,removal process,material removal process,waste process
rejection	withdrawal,degradation,removal,degradation process,termination,societal reprisal,degradation phenomenon
moderation	institutional readiness,nancial regulation,workplace flexibility,accomodation,self care,reactive autonomy,operational constraint,resolution,finality
nuisances	form of nuisance,nuisance event,nuisance issue,nuisance problem,environmental nuisance,serious violation
churchs	liturgical church,ancient church,christian church,famous church
homes	house,multifamily home,multi-family dwelling,residential establishment,seasonal home,stately home
monasteries	monastery order,monastic order,religious institution,religious order,venerable institution,catholic institution,catholic religious order,religious building,ancient church
places of worship	religious place,religious site,religious building,folk religious temple,notable church,liturgical church,famous church
acronyms	common abbreviation,abbreviation,abbreviated word,written abbreviation
decrease	time element loss,unimportant change,qualitative loss,loss function,financial change,non economic loss,secondary change,economic loss
forms	material form,simple form,form section,nature s form,fixed form
shortening	extension,simple extension,trim change
resignation	withdrawal,finality,invalid submission,insolvency,withdrawal behavior,termination,submission
captures	capture situation,capture mode,acquisition
motion	movement,complex motion,physical movement
operations	rman operation,secondary operation,notable operation,complex operation,high level operation,basic operation,lengthy operation
medical procedures	basic medical procedure,routine medical procedure,hospital procedure
diseases	medical disease,clinical disease,human disease
issues	external issue,substantive issue,core issue
terminations	termination property,termination sequence,end closure,withdrawal,inactivation method,forced induction,separation step,premedication,employee absence
skeletal muscles	upper body muscle,muscle,postural muscle,core muscle,muscle organ,large muscle,large muscle group,longitudinal muscle
serve	table service duty,act,food offering,rim offering,offer
magazines	popular magazine,prestigious magazine,prominent magazine,famous magazine,weekly magazine,notable magazine
experts	professionals,war party s experts,professional personnel,professional person,conservants
playing cards	traditional card game,card game,popular solitaire card game,game table,blackjack variant,legendary card,classic table game,game board
software	software product,commercial software,proprietary software,application software,computer software,advanced software,third party software,nle software
groups	sub groups,basic group,subgroup,group class,sometimes particular group
mental disorder	common mental disorder,serious mental disorder,mental health disorder
cognition	aspect of cognition,cognitive function,high level cognition
dispositions	personality disposition,temperament,personality characteristic,positive disposition,mental attitude,personality element,personality trait
quality	inherent quality,fundamental quality,physical quality
erosion	erosion feature,soil disturbance,unconsolidated formation,erosional feature,deterioration,structural aberration,carbonate formation,formation degradation
discrimination	type of discrimination,form of discrimination,prejudice,bias,human bias,behavioral bias,dehumanizing bias,behavioural bias,external bias,potential bias
rituals	religious ritual,today s ritual,christian ritual,traditional ceremony,religious ceremony,religious initiatory ritual,rite
wash	cleaning activity,cleaning task,wash cycle,wash small item,cleaning method,physical cleaning strategy
cells	animal cell,progenitor cell,human cell,somatic cell,chemotactic cell
retardation	self destructive behavior,psychological morbidity,derangement,compulsive behavior,psychological co morbidity
doctrines	christian doctrine,central doctrine,non western moral and religious philosophy,basic christian doctrine,theological concept
people	folks,non individuals,subject people,european people
reformers	antievolutionists,moderate reformer,anti-federalists,anti federalists
transgression	serious transgression,sin,personal crime,victimless crime,atrocity,crimes of passion,consequence crime,so called victimless crime,self injurious behavior
bands	grunge band,legendary band,rock band
medical treatments	nonsurgical treatment,non medical treatment,medicine treatment,clinical treatment,symptomatic treatment,non-surgical treatment,nonmedical treatment,non surgical treatment
breathing	breathing exercise,breathing technique,artificial respiration,breathing condition,normal physiological movement
aircrafts	large aircraft,stovl aircraft,jet aircraft,cold war aircraft
capable of bombs	specialised bomb,explosive,high explosive,explosive weapon,energetic weapon,directed energy weapon
capable of stalls	perform high speed stunt,mean of transportation,mean of transport,tow smaller size trailer,motorized equipment,mean of public transport,motorized vehicle,non motorized vehicle,largercarriers
capable of taxis	mean of transportation,mean of public transport,form of public transportation,public or private transportation,public transport
films	feature film,popular film,hollywood film,movie,revered film,independent film,british and american film,critically acclaimed film,oscar nominated film
located in air	atmospheric component,air characteristic,minor atmospheric component,atmospheric constituent,large airborne particle,light absorbing aerosol,aerosol can
located in aircraft carriers	aircraft equipment,aircraft component,aircraft system,modern avionic equipment,support aircraft,aircraft structure,sophisticated aircraft system,crew equipment,standard naval equipment,passenger baggage
located in hangars	aircraft equipment,modern avionic equipment,aviation machinery
located in hangers	dangling clothing,hang heavy item,hanging clothing,personal and household item,small clothing item
located in skies	flying types,event over the air,flying debris
located in war	aspect of military importance,modern military concept,constant war
used for air transportation	mean of transportation,form of transportation,mean of transport,form of transport,type of transportation,method of transportation,commercial transportation,public or private transportation,transporting material,transportation source
used for cargo	bulk cargo,cargo equipment,common bulk cargo,cargo,dry bulk cargo
used for flies	flying types,flying object,fly,flying debris,flying animal,event over the air,flying insect,aerodynamic aircraft,biting fly,small fly
used for flight	flying types,aerodynamic aircraft,large aircraft,aerobatic,flying object,lighter than air or rotary wing aircraft,small aircraft,fast jet
used for flying	flying types,flying object,flying animal,aerobatic,flying debris,aerodynamic aircraft,basic aerobatic maneuver,lighter than air or rotary wing aircraft,fly
used for transport	mean of transport,mean of transportation,form of transport,form of transportation
used for transportation	mean of transportation,form of transportation,mean of transport,form of public transportation,mode of transportation,form of transport,method of transportation
used for travel	form of transportation,mean of transportation,mode of travel,method of transportation,form of transport,mean of transport
used for traveling	form of transportation,mean of transportation,mode of transportation,method of transportation,mode of travel
used for warfare	heavy weaponry,weaponry,warfare,armed technique,modern military concept
vehicles	motorised vehicle,motor vehicle,modern vehicle,common vehicle,conventional vehicle,towed vehicle,two-wheeled vehicle,simple vehicle
