coupling agent	additive	1
sexuality	office duty	0
supplement	city	0
reaction time	closure	0
olive oil	image	0
sha 1	company	0
ligand concentration	factor	0
bloody stool	payment method	0
lawyer	essential service	0
celebrity	production factor	0
t cell	inflammation mediator	0
medical	area	1
cleaning	cost	1
webcams	element	0
carrefour	woody plant	0
room temperature	input	0
retirement	world famous object	0
financial incentive	non christian religion	0
transformer	passive component	1
map	payment method	0
vehicle	condition	0
doxorubicin	chemotherapy agent	1
trustworthiness	abrasive	0
boston	market	1
security	feature	1
tea	product	0
joint mobilization	object	0
potassium	fortified wine	0
chicken	attribute	0
artist	person	1
bias	problem	0
goodyear	technology	0
cod	computer system	0
politic	object	0
vegetable	disorder	0
accuracy	issue	1
storage tank	state	0
radiography	vegetable	0
asbestos	problem	0
pitch	tool	0
ink	element	0
e commerce	record	0
cottage cheese	virus	0
heated seat	factor	0
polyethylene terephthalate	salt	0
macys	factor	0
potassium permanganate	analytical parameter	0
jack kirby	treatment	0
common ground digital paper	company	0
respirator	metropolitan area	0
fish	portable electronic device	0
soup	gift	0
dentist	healthcare professional	1
pressure	resource	0
perceived usefulness	variable	1
alcohol	mediums	0
fabric	supply	1
smoking	electrical item	0
newsletter	fresh naive traffic method	1
national institutes of health	service	0
light	load	1
environmental impact	aspect	1
problem solving	gemstone	0
humidity	area	0
text message	physical factor	0
charges for service	resource	0
using a mouse	region	0
seborrhea	camera setting	0
antimony	material	1
oxycodone	external factor	0
mission	area	1
adaptive optic	technique	1
pain	feature	1
norepinephrine	company	0
tariff	issue	0
tree	person	0
ocd	anxiety disorder	1
mortgage company	investor	0
table	device	0
life	type of insurance	1
geography	pre 4g technology	0
chronic stress	industry	0
fish	light meat	1
diffraction	polar solvent	0
packaging	body fluid	0
love	quality	1
health	program	1
conoco	company	1
travel	group	0
engineering	financial record	0
outback steakhouse	nonsteroidal antiinflammatory drug	0
heating	item	1
sainsbury	oxidant	0
billing	department	1
heparin	invention	0
dust	gas	0
n acetylcysteine	object	0
stress reduction program	heuristic	0
sequencing	low impact activity	0
honor	demographic information	0
